id,family,element,source,variants_to_review,proposed_work,priority,status
pet.mina,pet,mina,LettersArt.js:pet/SPECIES + LettersAnimalArt.js,"all supported stages, hues, expressions, accessories","Preserve species identity; individually refine silhouette, face readability, limb contact and shading. Keep approved animal proportions; do not replace earned pets.",P1,inventoried; not implemented
pet.rafi,pet,rafi,LettersArt.js:pet/SPECIES + LettersAnimalArt.js,"all supported stages, hues, expressions, accessories","Preserve species identity; individually refine silhouette, face readability, limb contact and shading. Keep approved animal proportions; do not replace earned pets.",P1,inventoried; not implemented
pet.bunny,pet,bunny,LettersArt.js:pet/SPECIES + LettersAnimalArt.js,"all supported stages, hues, expressions, accessories","Preserve species identity; individually refine silhouette, face readability, limb contact and shading. Keep approved animal proportions; do not replace earned pets.",P1,inventoried; not implemented
pet.chick,pet,chick,LettersArt.js:pet/SPECIES + LettersAnimalArt.js,"all supported stages, hues, expressions, accessories","Preserve species identity; individually refine silhouette, face readability, limb contact and shading. Keep approved animal proportions; do not replace earned pets.",P1,inventoried; not implemented
pet.cat,pet,cat,LettersArt.js:pet/SPECIES + LettersAnimalArt.js,"all supported stages, hues, expressions, accessories","Preserve species identity; individually refine silhouette, face readability, limb contact and shading. Keep approved animal proportions; do not replace earned pets.",P1,inventoried; not implemented
pet.dragon,pet,dragon,LettersArt.js:pet/SPECIES + LettersAnimalArt.js,"all supported stages, hues, expressions, accessories","Preserve species identity; individually refine silhouette, face readability, limb contact and shading. Keep approved animal proportions; do not replace earned pets.",P1,inventoried; not implemented
face.neutral,face,neutral,LettersArt.js:FACE_STATES + LettersAnimalArt.js mood mapping,normal / reduced motion / rapid replay,"Inspect pupils, lids, brows and mouth together in every pet renderer; animate inner art without moving its layout anchor.",P1,inventoried; not implemented
face.curious,face,curious,LettersArt.js:FACE_STATES + LettersAnimalArt.js mood mapping,normal / reduced motion / rapid replay,"Inspect pupils, lids, brows and mouth together in every pet renderer; animate inner art without moving its layout anchor.",P1,inventoried; not implemented
face.delighted,face,delighted,LettersArt.js:FACE_STATES + LettersAnimalArt.js mood mapping,normal / reduced motion / rapid replay,"Inspect pupils, lids, brows and mouth together in every pet renderer; animate inner art without moving its layout anchor.",P1,inventoried; not implemented
face.sleepy,face,sleepy,LettersArt.js:FACE_STATES + LettersAnimalArt.js mood mapping,normal / reduced motion / rapid replay,"Inspect pupils, lids, brows and mouth together in every pet renderer; animate inner art without moving its layout anchor.",P1,inventoried; not implemented
face.proud,face,proud,LettersArt.js:FACE_STATES + LettersAnimalArt.js mood mapping,normal / reduced motion / rapid replay,"Inspect pupils, lids, brows and mouth together in every pet renderer; animate inner art without moving its layout anchor.",P1,inventoried; not implemented
face.thinking,face,thinking,LettersArt.js:FACE_STATES + LettersAnimalArt.js mood mapping,normal / reduced motion / rapid replay,"Inspect pupils, lids, brows and mouth together in every pet renderer; animate inner art without moving its layout anchor.",P1,inventoried; not implemented
face.listening,face,listening,LettersArt.js:FACE_STATES + LettersAnimalArt.js mood mapping,normal / reduced motion / rapid replay,"Inspect pupils, lids, brows and mouth together in every pet renderer; animate inner art without moving its layout anchor.",P1,inventoried; not implemented
icon.speaker,icon,speaker,LettersArt.js:ICONS,default / pressed / focus / disabled / selected / muted where applicable,Optically center this icon on the shared grid; unify stroke/solid weight and silhouette; preserve recognizable meaning.,P1,inventoried; not implemented
icon.play,icon,play,LettersArt.js:ICONS,default / pressed / focus / disabled / selected / muted where applicable,Optically center this icon on the shared grid; unify stroke/solid weight and silhouette; preserve recognizable meaning.,P1,inventoried; not implemented
icon.next,icon,next,LettersArt.js:ICONS,default / pressed / focus / disabled / selected / muted where applicable,Optically center this icon on the shared grid; unify stroke/solid weight and silhouette; preserve recognizable meaning.,P1,inventoried; not implemented
icon.replay,icon,replay,LettersArt.js:ICONS,default / pressed / focus / disabled / selected / muted where applicable,Optically center this icon on the shared grid; unify stroke/solid weight and silhouette; preserve recognizable meaning.,P1,inventoried; not implemented
icon.home,icon,home,LettersArt.js:ICONS,default / pressed / focus / disabled / selected / muted where applicable,Optically center this icon on the shared grid; unify stroke/solid weight and silhouette; preserve recognizable meaning.,P1,inventoried; not implemented
icon.star,icon,star,LettersArt.js:ICONS,default / pressed / focus / disabled / selected / muted where applicable,Optically center this icon on the shared grid; unify stroke/solid weight and silhouette; preserve recognizable meaning.,P1,inventoried; not implemented
icon.lock,icon,lock,LettersArt.js:ICONS,default / pressed / focus / disabled / selected / muted where applicable,Optically center this icon on the shared grid; unify stroke/solid weight and silhouette; preserve recognizable meaning.,P1,inventoried; not implemented
icon.check,icon,check,LettersArt.js:ICONS,default / pressed / focus / disabled / selected / muted where applicable,Optically center this icon on the shared grid; unify stroke/solid weight and silhouette; preserve recognizable meaning.,P1,inventoried; not implemented
icon.arrow,icon,arrow,LettersArt.js:ICONS,default / pressed / focus / disabled / selected / muted where applicable,Optically center this icon on the shared grid; unify stroke/solid weight and silhouette; preserve recognizable meaning.,P1,inventoried; not implemented
icon.sun,icon,sun,LettersArt.js:ICONS,default / pressed / focus / disabled / selected / muted where applicable,Optically center this icon on the shared grid; unify stroke/solid weight and silhouette; preserve recognizable meaning.,P1,inventoried; not implemented
icon.flower,icon,flower,LettersArt.js:ICONS,default / pressed / focus / disabled / selected / muted where applicable,Optically center this icon on the shared grid; unify stroke/solid weight and silhouette; preserve recognizable meaning.,P1,inventoried; not implemented
icon.calendar,icon,calendar,LettersArt.js:ICONS,default / pressed / focus / disabled / selected / muted where applicable,Optically center this icon on the shared grid; unify stroke/solid weight and silhouette; preserve recognizable meaning.,P1,inventoried; not implemented
icon.paw,icon,paw,LettersArt.js:ICONS,default / pressed / focus / disabled / selected / muted where applicable,Optically center this icon on the shared grid; unify stroke/solid weight and silhouette; preserve recognizable meaning.,P1,inventoried; not implemented
icon.book,icon,book,LettersArt.js:ICONS,default / pressed / focus / disabled / selected / muted where applicable,Optically center this icon on the shared grid; unify stroke/solid weight and silhouette; preserve recognizable meaning.,P1,inventoried; not implemented
biome-prop.meadow,biome-prop,meadow,LettersGame.js:biomeDeco,map scale / phone / day and night,"Individually redraw as a recognizable miniature habitat: petaled meadow flowers, layered fruit canopy, reeds and water, crescent/fireflies, layered peaks, river stones/ripples.",P0,calibration implemented; awaiting owner visual review
biome-prop.orchard,biome-prop,orchard,LettersGame.js:biomeDeco,map scale / phone / day and night,"Individually redraw as a recognizable miniature habitat: petaled meadow flowers, layered fruit canopy, reeds and water, crescent/fireflies, layered peaks, river stones/ripples.",P1,inventoried; not implemented
biome-prop.lagoon,biome-prop,lagoon,LettersGame.js:biomeDeco,map scale / phone / day and night,"Individually redraw as a recognizable miniature habitat: petaled meadow flowers, layered fruit canopy, reeds and water, crescent/fireflies, layered peaks, river stones/ripples.",P1,inventoried; not implemented
biome-prop.night,biome-prop,night,LettersGame.js:biomeDeco,map scale / phone / day and night,"Individually redraw as a recognizable miniature habitat: petaled meadow flowers, layered fruit canopy, reeds and water, crescent/fireflies, layered peaks, river stones/ripples.",P1,inventoried; not implemented
biome-prop.peaks,biome-prop,peaks,LettersGame.js:biomeDeco,map scale / phone / day and night,"Individually redraw as a recognizable miniature habitat: petaled meadow flowers, layered fruit canopy, reeds and water, crescent/fireflies, layered peaks, river stones/ripples.",P1,inventoried; not implemented
biome-prop.river,biome-prop,river,LettersGame.js:biomeDeco,map scale / phone / day and night,"Individually redraw as a recognizable miniature habitat: petaled meadow flowers, layered fruit canopy, reeds and water, crescent/fireflies, layered peaks, river stones/ripples.",P1,inventoried; not implemented
world.sky,world,sky,LettersArt.js:backdrop; LettersGardenArt.js:backdrop,normal / compact phone / desktop / relevant progress states / reduced motion,Preserve sky and time-of-day transitions; balance saturation without flattening the world.,P1,inventoried; not implemented
world.sun,world,sun,LettersArt.js:backdrop; LettersGardenArt.js:backdrop,normal / compact phone / desktop / relevant progress states / reduced motion,"Refine disc, soft light and partial viewport cropping.",P1,inventoried; not implemented
world.moon,world,moon,LettersArt.js:backdrop; LettersGardenArt.js:backdrop,normal / compact phone / desktop / relevant progress states / reduced motion,Refine crescent/disc and restrained crater detail.,P1,inventoried; not implemented
world.night-stars,world,night-stars,LettersArt.js:backdrop; LettersGardenArt.js:backdrop,normal / compact phone / desktop / relevant progress states / reduced motion,"Use varied but quiet star shapes, avoid reward-star confusion.",P1,inventoried; not implemented
world.clouds,world,clouds,LettersArt.js:backdrop; LettersGardenArt.js:backdrop,normal / compact phone / desktop / relevant progress states / reduced motion,Round cloud masses with consistent shaded underside; maintain open focus area.,P1,inventoried; not implemented
world.far-hills,world,far-hills,LettersArt.js:backdrop; LettersGardenArt.js:backdrop,normal / compact phone / desktop / relevant progress states / reduced motion,Preserve silhouettes and depth; coordinate distant values.,P1,inventoried; not implemented
world.middle-hills,world,middle-hills,LettersArt.js:backdrop; LettersGardenArt.js:backdrop,normal / compact phone / desktop / relevant progress states / reduced motion,Preserve rolling shapes and separate values from foreground.,P1,inventoried; not implemented
world.near-hills,world,near-hills,LettersArt.js:backdrop; LettersGardenArt.js:backdrop,normal / compact phone / desktop / relevant progress states / reduced motion,"Refine ground edge, terrain contact and uncluttered texture.",P1,inventoried; not implemented
world.trees,world,trees,LettersArt.js:backdrop; LettersGardenArt.js:backdrop,normal / compact phone / desktop / relevant progress states / reduced motion,"Create coherent trunks, foliage masses and contact shadows.",P1,inventoried; not implemented
world.ground-flowers,world,ground-flowers,LettersArt.js:backdrop; LettersGardenArt.js:backdrop,normal / compact phone / desktop / relevant progress states / reduced motion,Petaled blooms and leaves rather than circles on sticks; fewer larger readable clusters.,P1,inventoried; not implemented
world.ground-leaves,world,ground-leaves,LettersArt.js:backdrop; LettersGardenArt.js:backdrop,normal / compact phone / desktop / relevant progress states / reduced motion,Give coherent organic shapes and keep them out of answer areas.,P1,inventoried; not implemented
world.river,world,river,LettersArt.js:backdrop; LettersGardenArt.js:backdrop,normal / compact phone / desktop / relevant progress states / reduced motion,"Preserve flowing water, bank and restrained highlights.",P1,inventoried; not implemented
world.riverbank,world,riverbank,LettersArt.js:backdrop; LettersGardenArt.js:backdrop,normal / compact phone / desktop / relevant progress states / reduced motion,Refine curved sand/grass boundary and prop contact.,P1,inventoried; not implemented
world.reeds,world,reeds,LettersArt.js:backdrop; LettersGardenArt.js:backdrop,normal / compact phone / desktop / relevant progress states / reduced motion,"Improve leaf taper, seed heads and grouping.",P1,inventoried; not implemented
world.boat,world,boat,LettersArt.js:backdrop; LettersGardenArt.js:backdrop,normal / compact phone / desktop / relevant progress states / reduced motion,Preserve paper-boat identity; refine folds and seat on water/shore.,P1,calibration implemented; awaiting owner visual review
world.boat-growth-flowers,world,boat-growth-flowers,LettersArt.js:backdrop; LettersGardenArt.js:backdrop,normal / compact phone / desktop / relevant progress states / reduced motion,Refine three existing earned blooms; no invented progress.,P1,calibration implemented; awaiting owner visual review
world.pond-surface,world,pond-surface,LettersArt.js:backdrop; LettersGardenArt.js:backdrop,normal / compact phone / desktop / relevant progress states / reduced motion,"Restore activity-level pond identity across chapters; curved bank, aqua depth and sparse ripples.",P0,calibration implemented; awaiting owner visual review
world.pond-bank,world,pond-bank,LettersArt.js:backdrop; LettersGardenArt.js:backdrop,normal / compact phone / desktop / relevant progress states / reduced motion,Shape a real shoreline frame; reserve the whole interaction area from scenery.,P0,calibration implemented; awaiting owner visual review
map.trail,map,trail,LettersGame.js:renderHome/masteryPlant; LettersArt.js:mapStop/bloomCluster,normal / compact phone / desktop / relevant progress states / reduced motion,Refine winding path and dot spacing without moving curriculum order.,P1,inventoried; not implemented
map.biome-bands,map,biome-bands,LettersGame.js:renderHome/masteryPlant; LettersArt.js:mapStop/bloomCluster,normal / compact phone / desktop / relevant progress states / reduced motion,Blend habitat transitions into scenery; preserve regional identity.,P1,inventoried; not implemented
map.level-coin,map,level-coin,LettersGame.js:renderHome/masteryPlant; LettersArt.js:mapStop/bloomCluster,normal / compact phone / desktop / relevant progress states / reduced motion,"Refine rim, face, contact shadow; protect Arabic ink bounds.",P1,inventoried; not implemented
map.locked-seed,map,locked-seed,LettersGame.js:renderHome/masteryPlant; LettersArt.js:mapStop/bloomCluster,normal / compact phone / desktop / relevant progress states / reduced motion,"Keep gentle unopened-seed cue, visually subordinate but legible.",P1,inventoried; not implemented
map.current-ring,map,current-ring,LettersGame.js:renderHome/masteryPlant; LettersArt.js:mapStop/bloomCluster,normal / compact phone / desktop / relevant progress states / reduced motion,One clear current-level cue with no covering of glyph or reward.,P1,inventoried; not implemented
map.star-plaque,map,star-plaque,LettersGame.js:renderHome/masteryPlant; LettersArt.js:mapStop/bloomCluster,normal / compact phone / desktop / relevant progress states / reduced motion,Reserve an exclusive rectangle below the glyph; all three stars readable.,P0,calibration implemented; awaiting owner visual review
map.earned-stars,map,earned-stars,LettersGame.js:renderHome/masteryPlant; LettersArt.js:mapStop/bloomCluster,normal / compact phone / desktop / relevant progress states / reduced motion,Consistent gold shape and contrast; unchanged counts.,P1,inventoried; not implemented
map.empty-stars,map,empty-stars,LettersGame.js:renderHome/masteryPlant; LettersArt.js:mapStop/bloomCluster,normal / compact phone / desktop / relevant progress states / reduced motion,Distinguish from earned stars without faint outlines.,P1,inventoried; not implemented
map.completion-blooms,map,completion-blooms,LettersGame.js:renderHome/masteryPlant; LettersArt.js:mapStop/bloomCluster,normal / compact phone / desktop / relevant progress states / reduced motion,Move to separate side planting bed; never overlap plaque or glyph.,P0,calibration implemented; awaiting owner visual review
map.mastery-seed,map,mastery-seed,LettersGame.js:renderHome/masteryPlant; LettersArt.js:mapStop/bloomCluster,normal / compact phone / desktop / relevant progress states / reduced motion,Clarify soil mound and seed stage outside level target.,P1,inventoried; not implemented
map.mastery-sprout,map,mastery-sprout,LettersGame.js:renderHome/masteryPlant; LettersArt.js:mapStop/bloomCluster,normal / compact phone / desktop / relevant progress states / reduced motion,Clear single-leaf silhouette at small sizes.,P1,inventoried; not implemented
map.mastery-bud,map,mastery-bud,LettersGame.js:renderHome/masteryPlant; LettersArt.js:mapStop/bloomCluster,normal / compact phone / desktop / relevant progress states / reduced motion,Readable closed-bud stage distinct from flower.,P1,inventoried; not implemented
map.mastery-flower,map,mastery-flower,LettersGame.js:renderHome/masteryPlant; LettersArt.js:mapStop/bloomCluster,normal / compact phone / desktop / relevant progress states / reduced motion,Readable mature stage; retain mastery thresholds.,P1,inventoried; not implemented
map.pet-marker,map,pet-marker,LettersGame.js:renderHome/masteryPlant; LettersArt.js:mapStop/bloomCluster,normal / compact phone / desktop / relevant progress states / reduced motion,Reserve position beside current coin; avoid stars and neighboring stops.,P1,inventoried; not implemented
map.first-tap-cue,map,first-tap-cue,LettersGame.js:renderHome/masteryPlant; LettersArt.js:mapStop/bloomCluster,normal / compact phone / desktop / relevant progress states / reduced motion,"Use a small, consistent demonstrative cue; no reading required.",P1,inventoried; not implemented
map.boat-landmark,map,boat-landmark,LettersGame.js:renderHome/masteryPlant; LettersArt.js:mapStop/bloomCluster,normal / compact phone / desktop / relevant progress states / reduced motion,Give landmark a dedicated footprint; no collision with the adjacent level.,P1,inventoried; not implemented
map.toolbar,map,toolbar,LettersGame.js:renderHome/masteryPlant; LettersArt.js:mapStop/bloomCluster,normal / compact phone / desktop / relevant progress states / reduced motion,Group destinations coherently with large touch targets.,P1,inventoried; not implemented
map.practice-entry,map,practice-entry,LettersGame.js:renderHome/masteryPlant; LettersArt.js:mapStop/bloomCluster,normal / compact phone / desktop / relevant progress states / reduced motion,"A recognizable activity/garden pictogram, no written label dependency.",P1,inventoried; not implemented
character.key-mascot,character,key-mascot,LettersArt.js:keyMascot/blobCard/creature/egg,normal / compact phone / desktop / relevant progress states / reduced motion,"Refine key silhouette, face and limbs while retaining identity.",P1,inventoried; not implemented
